date,ticker,open,high,low,close,adj_close,volume,daily_return,log_return,is_outlier,cum_return_7,cum_return_30,cum_return_90,cum_return_ytd,ma20,ma50,ma200,ma20_signal,ma50_signal,ma200_signal,rsi_14,macd_line,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,volume_spike,gap_up,gap_down,sudden_price_movement,volatility_30,volatility_60,beta,var_95,var_99,drawdown,max_drawdown,sharpe_ratio,relative_strength
2024-11-27,AAPL,232.9814664022851,234.1937224347506,232.32565277909848,233.43853759765625,233.43853759765625,33498400.0,,,False,,,,0.0,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0
2024-11-29,AAPL,233.31931239062584,236.3002669685808,232.48464874765904,235.8233184814453,235.8233184814453,28481400.0,0.010215883411244464,0.010164053964483975,False,,,,0.010215883411244464,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0045824008017095
2024-12-02,AAPL,235.76369091824088,239.26133321145704,235.654388648958,238.06895446777344,238.06895446777344,48137100.0,0.009522535772919394,0.009477482219375487,False,,,,0.019835700299399406,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0116715389289268
2024-12-03,AAPL,238.2875760799829,241.21884512379424,237.38334952948236,241.1095428466797,241.1095428466797,38861000.0,0.012771881095138049,0.012691008490703965,False,,,,0.03286092060020018,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0241301448844067
2024-12-04,AAPL,241.32814402991647,242.56027739454964,239.7184333911867,241.46725463867188,241.46725463867188,44383900.0,0.0014836069438348698,0.0014825074863604628,False,,,,0.03439328023401833,,,,SELL,SELL,SELL,,,,,,,,False,True,False,False,,,,,,0.0,0.0,,1.0194802504179348
2024-12-05,AAPL,242.4410361127995,242.98753231090083,240.59284370740727,241.49705505371094,241.49705505371094,40033900.0,0.0001234138976056176,0.00012340628273707047,False,,,,0.034520938740389084,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0215160743074228
2024-12-06,AAPL,241.36787220390693,243.07695387436263,240.5431396985891,241.29830932617188,241.29830932617188,36870600.0,-0.0008229737107761093,-0.0008233125395512946,False,,,,0.03366955520455828,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.000822973710776141,-0.000822973710776141,,1.0181346853207907
2024-12-09,AAPL,240.29475369946152,245.67041216886827,240.21525975684386,245.1835174560547,245.1835174560547,44649200.0,0.016101265444968593,0.01597301490304637,False,0.05031294309528933,,,0.05031294309528933,,,,SELL,SELL,SELL,,,,,,,,False,False,True,False,,,,,,0.0,-0.000822973710776141,,1.0409235994247068
2024-12-10,AAPL,245.32261857013248,246.63424582967986,243.7824557106041,246.19703674316406,246.19703674316406,36914800.0,0.004133717052538177,0.004125196716571002,False,0.0439893659733015,,,0.05465463961866379,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.000822973710776141,,1.0483336215865053
2024-12-11,AAPL,246.38582450957213,249.2077910379196,244.69660488558225,244.92515563964844,244.92515563964844,45205800.0,-0.005166110528139534,-0.005179501014866014,False,0.02879922410380109,,,0.04920617718137854,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.005166110528139573,-0.005166110528139573,,1.034470549050281
2024-12-12,AAPL,245.32260415969785,247.1608653940442,244.1202792424049,246.3858184814453,246.3858184814453,32777500.0,0.005963710987473725,0.005945998449852517,False,0.021883313171560337,,,0.05546333958836058,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.005166110528139573,,1.0463045488281766
2024-12-13,AAPL,246.24671899982582,247.70737273801882,244.67674782957272,246.55474853515625,246.55474853515625,33155300.0,0.000685632211919085,0.0006853972735354901,False,0.021069084104580638,,,0.05618699925248194,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.005166110528139573,,1.047049640815319
2024-12-16,AAPL,246.4156487620838,249.7841268474892,246.07779571830554,249.44627380371094,249.44627380371094,51694800.0,0.011727720864164848,0.011659484135205381,False,0.032916421064563384,,,0.06857366556007505,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.005166110528139573,,1.0553196135944791
2024-12-17,AAPL,248.49236434269267,252.21855739876366,248.19426586582333,251.8707733154297,251.8707733154297,51356400.0,0.00971952587123659,0.009672595130981274,False,0.04381491117273684,,,0.07895969494780841,,,,SELL,SELL,SELL,92.56108239729475,,,,,,,False,False,False,False,,,,,,0.0,-0.005166110528139573,,1.0697101746107966
2024-12-18,AAPL,250.55917390522964,252.6657103008961,246.1672359539693,246.4752655029297,246.4752655029297,56774100.0,-0.021421730443265674,-0.021654506017711135,False,0.005268494637314047,,,0.05584651120348827,,,,SELL,SELL,SELL,65.81989897536842,,,,,,,False,False,False,False,,,,,,-0.021421730443265643,-0.021421730443265643,,1.078606301522541
2024-12-19,AAPL,245.92873792847348,250.400169527173,245.5213371883983,248.20419311523438,248.20419311523438,60882300.0,0.007014608986328996,0.006990121065482409,False,0.008152642284497524,,,0.06325286162916055,,,,SELL,SELL,SELL,68.91861468360786,,,,,,,False,False,True,False,,,,,,-0.01455738651980665,-0.021421730443265643,,1.087112777640413
2024-12-20,AAPL,246.4653249902114,253.3811464831127,244.13025293349912,252.8743896484375,252.8743896484375,147495300.0,0.0188159453496215,0.018641115109464066,False,0.0324557679182802,,,0.08325896936640342,,,,SELL,SELL,SELL,75.40494687366896,,,,,,,False,False,False,False,,,,,,0.0,-0.021421730443265643,,1.095658979199928
2024-12-23,AAPL,253.15260355822258,254.02700659111463,251.84097626600598,253.64942932128906,253.64942932128906,40858800.0,0.0030649195987346722,0.0030602323076659747,False,0.029480636850820918,,,0.08657907101211948,,,,SELL,SELL,SELL,76.2892822141088,,,,,,,False,False,False,False,,,,,,0.0,-0.021421730443265643,,1.0910661881931731
2024-12-24,AAPL,253.86807977438255,256.5707984652038,253.66933730368413,256.5608825683594,256.5608825683594,23234700.0,0.011478256642881934,0.011412881243240304,False,0.040583822021891924,,,0.09905110445198084,,,,SELL,SELL,SELL,79.30024259928268,,,,,,,False,False,False,False,,,,,,0.0,-0.021421730443265643,,1.0915361549380875
2024-12-26,AAPL,256.55086249805703,258.44874034869076,255.99442012888886,257.3755798339844,257.3755798339844,27237100.0,0.0031754539408708204,0.0031704228348887666,False,0.03178763069643198,,,0.10254109061283145,245.92030181884766,,,BUY,SELL,SELL,80.0631773676292,,,,245.92030181884766,258.99036352988804,232.85024010780728,False,False,False,False,,,,,,0.0,-0.021421730443265643,,1.095446655283718
2024-12-27,AAPL,256.19314630806485,257.05764856283577,251.45343969164696,253.96737670898438,253.96737670898438,42355300.0,-0.01324213869551416,-0.01333059760546277,False,0.00832412338262456,,,0.08794108857343286,246.94674377441407,,,BUY,SELL,SELL,68.66193710035436,,,,246.94674377441407,259.080344375273,234.81314317355512,False,False,False,False,,,,,,-0.013242138695514166,-0.021421730443265643,,1.0930247923977716
2024-12-30,AAPL,250.6287005424076,251.8906421270002,249.15810064436016,250.59889221191406,250.59889221191406,35557500.0,-0.013263453521946578,-0.01335219870688894,False,0.01673038753227485,,,0.07351123251052316,247.6855224609375,,,BUY,SELL,SELL,59.6246354367149,,,,247.6855224609375,258.71664561631815,236.65439930555686,False,False,True,False,,,,,,-0.026329955726341624,-0.026329955726341624,,1.0901947685930398
2024-12-31,AAPL,250.83738041728796,251.6720440162376,247.84647977817443,248.8302001953125,248.8302001953125,39480700.0,-0.007057860475719546,-0.007082884988829897,False,0.0025221454650747877,,,0.06593454001234611,248.22358474731445,,,BUY,SELL,SELL,55.49440508772493,,,,248.22358474731445,258.28705341265186,238.160116081977,False,False,False,False,,,,,,-0.033201983048212744,-0.033201983048212744,,1.0871585835531077
2025-01-02,AAPL,247.34966196417784,247.51859606258614,240.28481431614935,242.3019256591797,242.3019256591797,55740700.0,-0.02623586096466035,-0.02658616171226001,False,-0.04180915277326558,,,0.0,248.28320388793946,,,SELL,SELL,SELL,43.51320140436236,,,,248.28320388793946,258.1819972524717,238.38441052340724,False,False,True,False,,,,,,-0.05856676140186915,-0.05856676140186915,,1.0609955759963257
2025-01-03,AAPL,241.8150177001953,242.6298040057451,240.3543488544026,241.8150177001953,241.8150177001953,40244100.0,-0.0020095092420736593,-0.002011531014738605,False,-0.04665656710823307,,,-0.0020095092420736593,248.30059204101562,,,SELL,SELL,SELL,42.77148358443209,,,,248.30059204101562,258.15007232955975,238.45111175247146,False,False,False,False,,,,,,-0.060458580195627463,-0.060458580195627463,,1.0456919320618618
2025-01-06,AAPL,242.75900387005615,245.7598357483754,241.6560500607284,243.4446258544922,243.4446258544922,45045600.0,0.00673906926788681,0.006716463246120285,False,-0.05112336916900195,,,0.004716017803836348,248.3979705810547,,,SELL,SELL,SELL,46.08398778904954,1.7540220143728504,,,248.3979705810547,257.99962487655944,238.79631628554995,False,True,False,False,,,,,,-0.05412694548751714,-0.060458580195627463,,1.0469409164279166
2025-01-07,AAPL,241.43743349025635,243.99112508347835,239.81779188041267,240.67233276367188,240.67233276367188,40856000.0,-0.011387776916781611,-0.011453114152515327,False,-0.06489833682390012,,,-0.006725464071630993,248.36667175292968,,,SELL,SELL,SELL,41.665614737338124,1.0860761521779239,,,248.36667175292968,258.0693201398152,238.66402336604415,False,False,True,False,,,,,,-0.06489833682390007,-0.06489833682390007,,1.0466403905420592
2025-01-08,AAPL,240.38417847646193,242.1628232218062,238.52605495049286,241.1592254638672,241.1592254638672,37628900.0,0.0020230522329021117,0.002021008618495214,False,-0.050432269731217394,,,-0.004716017803836237,248.16545715332032,,,SELL,SELL,SELL,42.704603526949974,0.5892202515885856,,,248.16545715332032,258.3032099054202,238.02770440122043,False,False,False,False,,,,,,-0.06300657731622115,-0.06489833682390007,,1.047123908259776
2025-01-10,AAPL,238.48628640867517,238.63534322792128,231.52079498772144,235.3463592529297,235.3463592529297,61710900.0,-0.02410385171770446,-0.024399103678973594,False,-0.06086432714988366,,,-0.028706195327698913,247.6229232788086,,,SELL,SELL,SELL,34.747551603989194,-0.27047350218538213,,,247.6229232788086,259.25540392629046,235.99044263132672,False,False,True,False,,,,,,-0.08559172783705529,-0.08559172783705529,,1.0378796198567133
2025-01-13,AAPL,232.04742383507855,233.180185891021,228.26161420500546,232.91189575195312,232.91189575195312,49630700.0,-0.010344173195219075,-0.01039804598980548,False,-0.06397255811740188,,,-0.038753426666672586,247.02226028442382,,,SELL,SELL,SELL,32.05381660288204,-1.1351426369615751,,,247.02226028442382,260.3573334578755,233.68718711097213,False,False,False,False,,,,,,-0.09505052537544985,-0.09505052537544985,,1.025527951364865
2025-01-14,AAPL,233.25969544364762,234.62099318079112,230.99417118008773,231.7990264892578,231.7990264892578,39435300.0,-0.004778069660643203,-0.004789521127315873,False,-0.043346329755113766,-0.007023309541221656,,-0.043346329755113766,246.29292068481445,,,SELL,SELL,SELL,30.875478501476735,-1.8884297619503911,,,246.29292068481445,261.2691678610934,231.3166735085355,False,True,False,False,0.011638367037705464,,,,,-0.09937443700456847,-0.09937443700456847,,1.0194593217354169
2025-01-15,AAPL,233.1503884256181,237.4429702030776,232.94171493841435,236.35987854003906,236.35987854003906,39832000.0,0.01967588958356825,0.01948482149103695,False,-0.022559141330583454,0.0022752629470608188,,-0.024523317769660102,245.7831771850586,,,SELL,SELL,SELL,40.52510258386267,-2.0932627616718946,,,245.7831771850586,261.40211242924266,230.16424194087458,False,False,False,False,0.012050309626744308,,,,,-0.08165382787093135,-0.09937443700456847,,1.020823953765436
2025-01-16,AAPL,235.84318609247865,236.49898454969573,226.58234697208553,226.81088256835938,226.81088256835938,71759100.0,-0.04040024064431946,-0.04123899879228495,False,-0.0683265988220042,-0.04728912228216653,,-0.06393281047468813,244.65140762329102,,,SELL,SELL,SELL,30.823276787685813,-2.991632878719656,,,244.65140762329102,262.3010955324802,227.00171971410185,False,False,False,False,0.014000139501508089,,,,,-0.11875523421973531,-0.11875523421973531,,0.9816563554173745
2025-01-17,AAPL,230.6463874145182,230.8153063545454,227.02949646555186,228.5199737548828,228.5199737548828,68488300.0,0.007535313857827575,0.007507065199941147,False,-0.05049337773578677,-0.05221514230899815,,-0.0568792504096004,243.48386764526367,,,SELL,SELL,SELL,33.874611125291054,-3.525053669177197,-1.3849799635482039,-2.140073705628993,243.48386764526367,262.18101333952524,224.7867219510021,False,False,False,False,0.013847646855886487,,,,,-0.11211477832401337,-0.11875523421973531,,0.979269504786761
2025-01-21,AAPL,222.57794445660952,222.99527628303537,217.9872792040061,221.22657775878906,221.22657775878906,98070400.0,-0.03191579220080276,-0.03243620396100727,False,-0.08265347372358611,-0.08382369240984944,,-0.08697969627379298,242.22143325805663,,,SELL,SELL,SELL,28.16519370891166,-4.484613756327462,-2.0049067221040557,-2.4797070342234067,242.22143325805663,263.3231126703527,221.11975384576056,False,False,True,False,0.014887096194358266,,,,,-0.1404523385571879,-0.1404523385571879,,0.9397751805521326
2025-01-22,AAPL,218.39463640105285,222.69714881925015,218.39463640105285,222.40899658203125,222.40899658203125,64126500.0,0.005344831688945728,0.005330598768572263,False,-0.054971586184575316,-0.07904054344445044,,-0.08209975642178635,240.9316734313965,,,SELL,SELL,SELL,30.218638999896072,-5.090975129234096,-2.622120403530064,-2.468854725704032,240.9316734313965,263.58955819779584,218.27378866499714,False,False,False,False,0.014952898933769556,,,,,-0.13585820097814916,-0.1404523385571879,,0.939034382589934
2025-01-23,AAPL,223.3132424800993,225.58869773276695,220.88873040600683,222.24009704589844,222.24009704589844,60234800.0,-0.0007594096404751616,-0.0007596981380439885,False,-0.045819036728892315,-0.07898195529630403,,-0.08279681871575417,239.39995880126952,,,SELL,SELL,SELL,30.08633914622645,-5.521501237621834,-3.201996570348418,-2.319504667273416,239.39995880126952,262.788563034445,216.01135456809405,False,True,False,False,0.014953168564380625,,,,,-0.13651443859106396,-0.1404523385571879,,0.9333618654165093
2025-01-24,AAPL,223.35296445648333,224.19757422629087,220.00436403066544,221.36566162109375,221.36566162109375,54697900.0,-0.003934642921903042,-0.003942403994085478,False,-0.04501039122633055,-0.09714297307619757,,-0.0864056857209412,237.78577041625977,,,SELL,SELL,SELL,29.369430274076407,-5.865640459133743,-3.7347253481054836,-2.13091511102826,237.78577041625977,261.48766338850777,214.08387744401173,False,False,False,False,0.014529159818351903,,,,,-0.1399119459434271,-0.1404523385571879,,0.9323514063926026
2025-01-27,AAPL,222.59782027357136,230.67619691244207,222.55806572164707,228.40074157714844,228.40074157714844,94863400.0,0.03178035791339884,0.03128581292827294,False,-0.033673807128574706,-0.07228476589903454,,-0.057371331425506544,236.3777633666992,,,SELL,SELL,SELL,41.45599807302599,-5.5072173403579825,-4.089223746555984,-1.4179935938019987,236.3777633666992,258.68838379109667,214.06714294230176,False,False,False,False,0.01583486938672326,,,,,-0.11257803974847051,-0.1404523385571879,,0.97621579271528
2025-01-28,AAPL,229.38447454034346,238.66517670855166,229.34471998625472,236.74742126464844,236.74742126464844,75707600.0,0.036544013079224946,0.035892115165558194,False,0.04380979688350828,-0.0333887074753223,,-0.022923897032267826,235.34635543823242,,,BUY,SELL,SELL,51.959759500299725,-4.4978091971250365,-4.170940836669795,-0.3268683604552418,235.34635543823242,255.3586162955272,215.33409458093763,False,False,False,False,0.017340933157560905,,,,,-0.08014808002624714,-0.1404523385571879,,1.0026483537830164
2025-01-29,AAPL,232.63366934231402,238.33723404319062,232.52436707787834,237.8404083251953,237.8404083251953,45486100.0,0.004616679897539777,0.004606055717311958,False,0.04078608279690199,-0.034683043889936926,,-0.018413049429330197,234.54000701904297,,,BUY,SELL,SELL,53.14526050611241,-3.5685154254074405,-4.050455754417324,0.48194032900988315,234.54000701904297,252.597250430055,216.48276360803095,False,False,False,False,0.01732405464917782,,,,,-0.07590141815859097,-0.1404523385571879,,1.0120123606257527
