date,ticker,open,high,low,close,adj_close,volume,daily_return,log_return,is_outlier,cum_return_7,cum_return_30,cum_return_90,cum_return_ytd,ma20,ma50,ma200,ma20_signal,ma50_signal,ma200_signal,rsi_14,macd_line,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower,volume_spike,gap_up,gap_down,sudden_price_movement,volatility_30,volatility_60,beta,var_95,var_99,drawdown,max_drawdown,sharpe_ratio,relative_strength
2024-11-27,MSFT,421.03604952077916,423.1357584170694,417.9756653943907,418.9363708496094,418.9363708496094,18332400.0,,,False,,,,0.0,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0
2024-11-29,MSFT,416.06412568619913,420.808229889217,413.7960631011275,419.4018249511719,419.4018249511719,16271900.0,0.0011110376991583237,0.0011104209535499924,False,,,,0.0011110376991583237,,,,SELL,SELL,SELL,,,,,,,,False,False,True,False,,,,,,0.0,0.0,,0.9955283283855334
2024-12-02,MSFT,417.52999772728793,428.8504539576372,417.2724796995242,426.8498229980469,426.8498229980469,20207200.0,0.01775862097820413,0.0176027789896928,False,,,,0.018889389174754356,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.010732803374274
2024-12-03,MSFT,425.72067515411175,428.32547569363487,423.6407942127541,427.0676574707031,427.0676574707031,18302000.0,0.0005103304743721004,0.0005102003000616262,False,,,,0.019409359480064614,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0107922898410766
2024-12-04,MSFT,428.8801143248133,435.4564952904926,428.483953715763,433.2280578613281,433.2280578613281,26009400.0,0.014424881591619032,0.014321832782913758,False,,,,0.03411421878395271,,,,SELL,SELL,SELL,,,,,,,,False,True,False,False,,,,,,0.0,0.0,,1.019205212245867
2024-12-05,MSFT,433.72329450893346,440.39869339406243,431.99006528414975,438.37823486328125,438.37823486328125,21697800.0,0.01188791194037031,0.011817805778844854,False,,,,0.046407677553141236,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.033253386055897
2024-12-06,MSFT,438.0612738202398,441.82487523918803,437.5363542028089,439.3191223144531,439.3191223144531,18821000.0,0.0021462914358996166,0.0021439914428180687,False,,,,0.04865357338993315,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0328935108692403
2024-12-09,MSFT,438.3583975889403,444.03346541962105,436.2785166631167,441.74560546875,441.74560546875,19144400.0,0.005523281439500094,0.005508084054511961,False,0.0544455822083032,,,0.0544455822083032,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,0.0,,1.0450192945305523
2024-12-10,MSFT,440.13125981361975,445.31111943385133,437.3679889585384,439.0813903808594,439.0813903808594,18469500.0,-0.006031107168714356,-0.006049367753604238,False,0.04692293704725459,,,0.0480861078984276,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,-0.0060311071687143185,-0.0060311071687143185,,1.041804458021387
2024-12-11,MSFT,439.7945337941877,446.0341772846715,439.7945337941877,444.68719482421875,444.68719482421875,19200200.0,0.01276711918602813,0.012686306622105764,False,0.0417884015996266,,,0.06146714815518717,,,,SELL,SELL,SELL,,,,,,,,False,False,False,False,,,,,,0.0,-0.0060311071687143185,,1.0465593202098629
