date,ticker,open,high,low,close,adj_close,volume
2025-03-06,GVR,32536.02849264706,33521.96875,32536.02849264706,33521.96875,33521.96875,4939600
2025-03-07,GVR,33521.966184701494,33620.56020289179,33028.99609375,33028.99609375,33028.99609375,3000600
2025-03-10,GVR,33127.59065315315,33226.1846729542,32683.91756404842,32831.80859375,32831.80859375,2626600
2025-03-11,GVR,32536.026267776946,32979.69935324663,31845.868134824104,32930.40234375,32930.40234375,3157200
2025-03-12,GVR,32831.80996331936,32930.403987233236,32338.83984375,32338.83984375,32338.83984375,2208000
2025-03-13,GVR,32437.433321496213,33275.48251065341,32289.542288115532,32536.02734375,32536.02734375,4500600
2025-03-14,GVR,32536.026534346845,33176.887663053676,32486.72952444632,32831.80859375,32831.80859375,4168200
2025-03-17,GVR,32881.10628427572,32979.70030611762,32388.136175066185,32585.32421875,32585.32421875,2746500
2025-03-18,GVR,32733.214305763475,33275.48141022642,32486.729258280317,32930.40234375,32930.40234375,4240900
2025-03-19,GVR,32930.402478448275,34852.985856681036,32831.808459051725,34310.71875,34310.71875,8590800
2025-03-20,GVR,34507.90760869565,34507.90760869565,33521.967391304344,34014.9375,34014.9375,2368900
2025-03-21,GVR,34014.93736432706,34803.68953509406,33867.046332308244,34064.234375,34064.234375,4101100
2025-03-24,GVR,34064.23547309663,34113.532485358715,33226.18626464129,33669.859375,33669.859375,2533500
2025-03-25,GVR,33817.749187138725,34852.98640715318,33423.3731033237,34113.53125,34113.53125,4845000
2025-03-26,GVR,34014.9375,34409.31358695652,33768.452445652176,34014.9375,34014.9375,2813400
2025-03-27,GVR,34064.23330203863,34655.797411480686,34014.93629291846,34458.609375,34458.609375,3998000
2025-03-28,GVR,34557.20379849138,35099.47090517241,34310.71875,34310.71875,34310.71875,4680600
2025-03-31,GVR,34162.828369140625,34310.719401041664,31944.462890625,31944.462890625,31944.462890625,9067500
2025-04-01,GVR,31993.759431416798,32289.541490875195,31155.710262951336,31402.1953125,31402.1953125,3786400
2025-04-02,GVR,31500.789197198275,31845.868265086207,31254.304148706895,31451.4921875,31451.4921875,1929900
2025-04-03,GVR,29282.423828125,29676.799906618267,29282.423828125,29282.423828125,29282.423828125,3332700
2025-04-04,GVR,27261.24609375,27261.24609375,27261.24609375,27261.24609375,27261.24609375,1437200
2025-04-08,GVR,25387.9609375,25387.9609375,25387.9609375,25387.9609375,25387.9609375,461900
2025-04-09,GVR,23613.267578125,23613.267578125,23613.267578125,23613.267578125,23613.267578125,459100
2025-04-10,GVR,25240.0703125,25240.0703125,25240.0703125,25240.0703125,25240.0703125,2523800
2025-04-11,GVR,24155.535006009617,26423.19747596154,23514.673873197116,25634.4453125,25634.4453125,10906200
2025-04-14,GVR,26866.870005367367,26916.167014551527,25437.256739026718,25831.6328125,25831.6328125,4547200
2025-04-15,GVR,25190.772661052768,25634.445760758197,24056.94140625,24056.94140625,24056.94140625,6815900
2025-04-16,GVR,23761.1598487367,24648.506067154256,23169.595703125,23169.595703125,23169.595703125,6426600
2025-04-17,GVR,23021.70469879907,24056.941955061982,23021.70469879907,23859.75390625,23859.75390625,4874600
2025-04-18,GVR,24451.317219387754,24451.317219387754,24155.53515625,24155.53515625,24155.53515625,3253400
2025-04-21,GVR,24155.53537875791,24254.129400712023,23268.189181170885,23366.783203125,23366.783203125,2932600
2025-04-22,GVR,23268.189076513452,23317.48608726878,21739.981743098375,21986.466796875,21986.466796875,6821400
2025-04-23,GVR,22528.733565064795,23268.188714902808,21394.902335313174,22824.515625,22824.515625,6047400
2025-04-24,GVR,23071.001542595543,24155.535803144903,22972.407518909236,23218.892578125,23218.892578125,5767100
2025-04-25,GVR,23317.485921907824,23662.5649947479,23218.891901096376,23465.376953125,23465.376953125,3552300
